,R2
Random Forest,0.8524710932633418
Decision Tree,0.7079581356662163
Gradient Boosting,0.8684916604397436
Linear Regression,0.8804332983749565
K-Neighbors Regressor,0.47561174068704326
XGBRegressor,0.8666728341042196
CatBoosting Regressor,0.8763090373664525
AdaBoost Regressor,0.8408415396018796
